epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2094,2.23926,4.32028,6.54319,1.92364,0.5434,0.07018,0.02041,0.00646,0.51556,0.02632,0.00487,0.00151,2.47295,2.99379,8.27986,2.14316,0.00013336,0.00013336,0.00013336
2,43.1295,1.58144,2.3977,3.31423,1.41672,0.56029,0.31579,0.22126,0.11556,0.55694,0.29825,0.20523,0.09148,1.53495,2.06869,16.4299,1.63205,0.000281987,0.000281987,0.000281987
3,67.0766,1.52392,1.95816,2.33032,1.33101,0.75062,0.23684,0.25934,0.12506,0.75062,0.23684,0.23989,0.1304,1.71921,2.25742,6.44726,1.60258,0.000429129,0.000429129,0.000429129
4,89.7654,1.53372,1.91209,1.88628,1.32202,0.10538,0.21902,0.05416,0.02349,0.05302,0.18421,0.05168,0.02621,1.94693,2.1301,4.85833,1.93153,0.000574786,0.000574786,0.000574786
5,103.357,1.55611,1.90854,1.78939,1.33445,0.61394,0.10526,0.04807,0.01459,0.57596,0.07018,0.02867,0.00816,2.21528,4.00277,5.64183,2.21441,0.000718957,0.000718957,0.000718957
6,117.6,1.56052,1.77848,1.75275,1.3723,0.04942,0.31488,0.04296,0.01939,0.05627,0.15729,0.01642,0.00326,2.09292,5.35431,26.5524,2.1998,0.000861643,0.000861643,0.000861643
7,128.478,1.49405,1.74365,1.56017,1.35192,0.54692,0.21053,0.06534,0.02978,0.52453,0.10526,0.02795,0.00928,2.10102,5.46373,20.0114,2.20962,0.00100284,0.00100284,0.00100284
8,142.431,1.47452,1.72277,1.57292,1.35394,0.80435,0.12281,0.1669,0.0738,0.78261,0.11404,0.12508,0.0587,1.66878,2.64087,11.7749,1.54371,0.00114256,0.00114256,0.00114256
9,158.509,1.4689,1.72885,1.51363,1.30183,0.78189,0.35965,0.30849,0.16056,0.85,0.18421,0.30033,0.13018,1.49769,2.51624,6.9314,1.49869,0.00128079,0.00128079,0.00128079
10,175.523,1.51209,1.78534,1.58976,1.31244,0.21917,0.29825,0.29354,0.1589,0.21917,0.29825,0.29086,0.12434,1.87691,2.98023,9.75448,1.8777,0.00141753,0.00141753,0.00141753
11,190.325,1.50518,1.72424,1.6502,1.324,0.77429,0.26316,0.24178,0.11145,0.75842,0.24561,0.21265,0.07914,2.35135,3.63162,5.07165,2.45658,0.00155279,0.00155279,0.00155279
12,202.716,1.48816,1.70726,1.55448,1.31712,0.54343,0.4276,0.44722,0.22221,0.53029,0.40867,0.40463,0.15608,1.75154,2.84686,4.09098,1.60486,0.00157623,0.00157623,0.00157623
13,213.174,1.51536,1.70859,1.51169,1.31484,0.29799,0.4029,0.40131,0.2437,0.32818,0.35904,0.36267,0.17554,1.58591,3.01674,6.16605,1.43249,0.00156798,0.00156798,0.00156798
14,226.226,1.46398,1.67698,1.48106,1.32199,0.29301,0.41161,0.37859,0.19814,0.31984,0.37467,0.35154,0.1681,1.61824,2.3591,3.30619,1.55046,0.00155973,0.00155973,0.00155973
15,236.867,1.42859,1.66949,1.44632,1.30846,0.82029,0.36842,0.39177,0.22238,0.80623,0.35088,0.37121,0.18145,1.83862,2.30936,3.59247,1.78775,0.00155148,0.00155148,0.00155148
16,247.21,1.43877,1.66743,1.41195,1.29749,0.55942,0.38303,0.3731,0.19548,0.54188,0.35057,0.32186,0.12441,1.78919,3.02755,3.69978,1.62752,0.00154323,0.00154323,0.00154323
17,258.574,1.43975,1.61408,1.39742,1.28099,0.35117,0.28947,0.29808,0.14232,0.46036,0.32361,0.31529,0.12011,1.96064,2.19144,3.59118,1.78225,0.00153497,0.00153497,0.00153497
18,268.512,1.40616,1.53127,1.31306,1.26284,0.84372,0.35965,0.43631,0.23757,0.83623,0.34211,0.41215,0.17266,1.51458,2.10124,4.07661,1.44513,0.00152672,0.00152672,0.00152672
19,279.586,1.41347,1.65208,1.35308,1.27066,0.83326,0.3331,0.35778,0.21332,0.788,0.28603,0.26138,0.13387,1.50141,2.14232,3.38267,1.30509,0.00151847,0.00151847,0.00151847
