epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3474,1.92445,3.12785,4.92884,1.64383,0.5965,0.21057,0.193,0.10747,0.59565,0.20874,0.19329,0.07675,1.50617,1.68855,8.51539,1.31313,0.0003334,0.0003334,0.0003334
2,75.8724,1.52075,1.9433,2.22324,1.32631,0.80723,0.31347,0.35541,0.18363,0.81443,0.32082,0.3499,0.16398,1.58581,1.74031,4.16955,1.47115,0.000682117,0.000682117,0.000682117
3,108.134,1.66666,1.8206,2.05242,1.45956,0.78802,0.33088,0.30489,0.14722,0.74642,0.28309,0.25279,0.09523,1.82218,2.69384,4.89522,1.95601,0.00102945,0.00102945,0.00102945
4,137.898,1.58177,1.88248,1.92215,1.43775,0.73217,0.19485,0.19512,0.09854,0.75269,0.18566,0.18958,0.07101,1.99767,3.08395,5.86806,2.12289,0.00137539,0.00137539,0.00137539
5,167.841,1.63299,1.88494,1.95927,1.45757,0.22536,0.20767,0.09805,0.04586,0.08967,0.17831,0.06944,0.01996,1.88398,4.73675,6.38846,1.77027,0.0016538,0.0016538,0.0016538
6,198.318,1.60179,1.77207,1.74736,1.414,0.635,0.13419,0.10771,0.04876,0.65081,0.15074,0.11635,0.03902,1.93039,2.04823,3.34269,1.79693,0.0016505,0.0016505,0.0016505
7,227.348,1.54053,1.77273,1.68535,1.35158,0.65529,0.18199,0.15545,0.07852,0.65599,0.18838,0.1579,0.07246,1.90705,1.88815,2.94523,1.88101,0.0016472,0.0016472,0.0016472
8,258.418,1.53126,1.70345,1.5973,1.37163,0.85617,0.36949,0.42722,0.24766,0.85817,0.35846,0.40788,0.21019,1.50956,1.60098,1.94163,1.46503,0.0016439,0.0016439,0.0016439
9,290.162,1.56148,1.75416,1.55915,1.38966,0.86845,0.42216,0.43957,0.2641,0.86672,0.39706,0.42409,0.22144,1.4351,1.6104,1.89962,1.3606,0.00164059,0.00164059,0.00164059
10,324.983,1.52721,1.64849,1.5823,1.4002,0.85166,0.41837,0.43881,0.24597,0.8393,0.40366,0.43058,0.20253,1.4365,1.4704,2.14812,1.41336,0.00163729,0.00163729,0.00163729
